:IngredientName,IngredientType,Unit,Recipe
Carrier_coat_ch_press,Analog,REF_SHEET_COAT_CHAMBER_PRESSURE,1.1
Carrier_coat_Ar_flow,Analog,REF_SHEET_COAT_AR_FLOW,1.1
Carrier_coat_O2_flow,Analog,REF_SHEET_COAT_O2_FLOW,1.1
Carrier_coat_gun1_emiss_cur,Analog,REF_SHEET_COAT_GUN1_EMISS_CUR,1.1
Carrier_coat_gun2_emiss_cur,Analog,REF_SHEET_COAT_GUN2_EMISS_CUR,1.1
Carrier_coat_gun1_power,Analog,REF_SHEET_COAT_GUN1_POWER,1.1
Carrier_coat_gun2_power,Analog,REF_SHEET_COAT_GUN2_POWER,1.1
Carrier_coat_gun1_press,Analog,REF_SHEET_COAT_GUN1_PRESS,1.1
Carrier_coat_gun2_press,Analog,REF_SHEET_COAT_GUN2_PRESS,1.1
Carrier_feed_setp_start_ingot1,Analog,REF_SHEET_START_FEED_SETP_INGOT1,1.1
Carrier_feed_setp_start_ingot2,Analog,REF_SHEET_START_FEED_SETP_INGOT2,1.1
Carrier_feed_setp_end_ingot1,Analog,REF_SHEET_END_FEED_SETP_INGOT1,1.1
Carrier_feed_setp_end_ingot2,Analog,REF_SHEET_END_FEED_SETP_INGOT2,1.1
Carrier_used_length_ingot1,Analog,REF_SHEET_USED_LENGTH_INGOT1,1.1
Carrier_used_length_ingot2,Analog,REF_SHEET_USED_LENGTH_INGOT2,1.1
Carrier_used_slot_no_ingot1,Analog,REF_SHEET_USED_SLOT_NO_INGOT1,1.1
Carrier_used_slot_no_ingot2,Analog,REF_SHEET_USED_SLOT_NO_INGOT2,1.1
Carrier_lot_code_ingot1,Message,REF_SHEET_LOT_CODE_INGOT1,
Carrier_lot_code_ingot2,Message,REF_SHEET_LOT_CODE_INGOT2,
Carrier_lot_code_start_ingot1,Message,REF_SHEET_LOT_CODE_START_INGOT1,
Carrier_lot_code_start_ingot2,Message,REF_SHEET_LOT_CODE_START_INGOT2,---
Carrier_Topplate_position,Analog,REF_SHEET_TOPPLATE_POSITION,1.1
Carrier_weight_gain_Sum,Analog,REF_SHEET_GAIN_TOTAL,1.1
START_TIME_YEAR,Analog,REF_SHEET_START_TIME_YEAR,2008
START_TIME_MONTH,Analog,REF_SHEET_START_TIME_MONTH,7
START_TIME_DAY,Analog,REF_SHEET_START_TIME_DAY,1
START_TIME_HOUR,Analog,REF_SHEET_START_TIME_HOUR,14
START_TIME_MINUTE,Analog,REF_SHEET_START_TIME_MINUTE,35
START_TIME_SECOND,Analog,REF_SHEET_START_TIME_SECOND,50
FINISHED_TIME_YEAR,Analog,REF_SHEET_FINISHED_TIME_YEAR,2008
FINISHED_TIME_MONTH,Analog,REF_SHEET_FINISHED_TIME_MONTH,7
FINISHED_TIME_DAY,Analog,REF_SHEET_FINISHED_TIME_DAY,1
FINISHED_TIME_HOUR,Analog,REF_SHEET_FINISHED_TIME_HOUR,14
FINISHED_TIME_MINUTE,Analog,REF_SHEET_FINISHED_TIME_MINUTE,51
FINISHED_TIME_SECOND,Analog,REF_SHEET_FINISHED_TIME_SECOND,17
d_P1_PQR_FDRx_TC_Z1,Discrete,REF_SHEET_HEAT_BIT_ZONE_1,1
d_P1_PQR_FDRx_TC_Z2,Discrete,REF_SHEET_HEAT_BIT_ZONE_2,1
d_P1_PQR_FDRx_TC_Z3,Discrete,REF_SHEET_HEAT_BIT_ZONE_3,1
